,lat,lon,city,temp,humidity,windspeed,cloudness
133,47.616000000657095,31.645000001010573,nova odesa,271.35,50.0,7.29,0.0
134,-9.982999999617931,-160.2069999999055,faanui,301.95,64.0,0.26,1.0
135,-33.879999999732036,11.146000000912693,saldanha,288.15,87.0,2.6,52.0
136,-73.38899999992069,34.25600000102304,port elizabeth,292.15,72.0,5.1,75.0
137,-37.20899999974793,-174.16199999997212,vaini,302.15,79.0,4.1,75.0
138,-82.9639999999664,-6.143999999169864,hermanus,288.71,86.0,1.79,67.0
139,-50.61099999981192,26.224000000984688,kruisfontein,288.75,96.0,2.15,100.0
140,78.51000000080461,33.54600000101965,vardo,273.65,82.0,15.59,94.0
141,-18.666999999659396,-131.88299999977025,rikitea,299.05,75.0,4.06,100.0
142,-3.5769999995873434,-21.94899999924533,georgetown,303.79,66.0,2.6,20.0
143,-49.626999999807225,-117.04899999969942,rikitea,299.05,75.0,4.06,100.0
144,-44.6379999997834,-140.04799999980924,rikitea,299.05,75.0,4.06,100.0
145,-33.53499999973039,-84.67399999954483,lebu,287.65,98.0,2.86,95.0
146,5.562000000456294,-97.52799999960621,puerto ayora,298.71,84.0,3.13,93.0
147,-86.40799999998285,-78.27099999951426,ushuaia,281.15,81.0,16.5,90.0
148,12.520000000489517,8.815000000901563,magaria,299.55,19.0,2.27,35.0
149,29.25400000056942,-31.79399999929234,ribeira grande,286.75,88.0,7.88,67.0
150,34.17600000059292,-164.56099999992628,kapaa,297.36,69.0,8.7,75.0
152,19.295000000521867,37.72600000103961,sawakin,295.95,64.0,4.43,13.0
153,-20.027999999665894,-135.00099999978514,rikitea,299.05,75.0,4.06,100.0
154,-64.2189999998769,-117.00799999969922,rikitea,299.05,75.0,4.06,100.0
155,19.24300000052162,26.3100000009851,kutum,289.25,21.0,1.45,12.0
156,-18.107999999656727,-176.39399999998278,neiafu,303.15,70.0,3.6,20.0
157,66.24800000074606,67.97700000118405,aksarka,269.65,81.0,9.34,75.0
158,-2.449999999581962,7.418000000894892,omboue,297.65,95.0,0.86,100.0
159,-45.16899999978594,-165.03399999992854,avarua,301.15,83.0,3.6,100.0
161,-61.35599999986323,-55.414999999405126,ushuaia,281.15,81.0,16.5,90.0
162,-34.87999999973681,-43.79499999934964,cidreira,296.35,78.0,11.89,2.0
163,-24.534999999687415,69.87400000119311,bambous virieux,299.2,88.0,5.1,75.0
164,9.99700000047747,0.2030000008604418,mango,294.79,94.0,1.5,1.0
165,-24.69299999968817,11.40300000091392,walvis bay,289.41,87.0,5.7,6.0
166,-35.6939999997407,-75.3049999995001,talcahuano,288.15,100.0,2.1,90.0
167,-30.696999999716837,-70.27099999947606,monte patria,284.95,42.0,0.52,0.0
168,2.4060000004412245,-16.070999999217264,bonthe,299.45,85.0,4.39,100.0
170,55.41000000069431,-115.45099999969179,slave lake,271.15,86.0,2.1,90.0
172,-8.856999999612555,-76.07099999950375,tingo maria,287.85,87.0,1.61,1.0
173,2.4690000004415253,44.287000001070936,wanlaweyn,298.75,84.0,2.07,90.0
174,83.24500000082722,-128.1669999997525,tuktoyaktuk,258.15,71.0,5.7,75.0
175,-26.030999999694558,-56.69799999941125,mbuyapey,296.45,52.0,1.95,0.0
176,42.54000000063286,-11.593999999195887,muros,281.84,100.0,1.51,40.0
177,49.415000000665685,-42.48199999934337,torbay,268.85,73.0,7.2,20.0
178,1.2430000004356714,-93.97899999958926,puerto ayora,298.71,84.0,3.13,93.0
179,26.1920000005548,45.59400000107718,buraydah,283.15,53.0,2.34,33.0
180,21.22000000053106,-70.00899999947481,cockburn town,297.55,73.0,8.72,0.0
181,55.987000000697066,-47.929999999369386,nanortalik,269.85,57.0,18.73,0.0
182,20.67400000052845,-118.06499999970427,constitucion,287.15,83.0,2.81,0.0
183,76.25200000079383,-1.8269999991492512,klaksvik,278.15,80.0,4.6,100.0
184,14.317000000498098,-82.59699999953492,puerto cabezas,295.25,96.0,1.44,0.0
185,-82.51699999996427,78.09400000123236,busselton,303.28,22.0,2.7,89.0
186,-32.39599999972495,-103.32399999963388,lebu,287.65,98.0,2.86,95.0
187,22.053000000535036,14.26600000092759,bilma,300.35,15.0,3.73,0.0
188,73.12200000077888,-52.379999999390634,upernavik,255.25,72.0,4.87,100.0
189,88.27100000085122,-118.57099999970669,tuktoyaktuk,258.15,71.0,5.7,75.0
190,76.69500000079594,-76.0379999995036,qaanaaq,253.45,98.0,2.05,100.0
191,31.282000000579103,-46.293999999361574,torbay,268.85,73.0,7.2,20.0
192,46.89600000065366,15.480000000933387,leibnitz,271.61,53.0,1.0,75.0
193,-5.723999999597595,-116.84399999969844,atuona,301.25,77.0,4.73,38.0
